slug,name,url,current_pathway,current_focus,current_liveliness,current_employees,linkedin_slug,issue,detail,edit_action,edit_url,edit_pathway,edit_focus,edit_liveliness,edit_notes
olam-food-ingredients,Olam Food Ingredients,https://www.ofi.com/,Afforestation,buyer_excluded,🟢 Active,6205,ofi-group,linkedin_slug_mismatch,LinkedIn slug 'ofi-group' shares no tokens with company name,,,,,,
opna,Opna,https://opna.earth,Enabling Tech,ecosystem,🟡 Moderate,4,salt-global-inc,linkedin_slug_mismatch,LinkedIn slug 'salt-global-inc' shares no tokens with company name,,,,,,
ospedale-san-giovanni-bosco,Ospedale San Giovanni Bosco,https://www.aslcittaditorino.it/strutture_sanitarie/ospedale-giovanni-bosco/,Enabling Tech,buyer_excluded,🟡 Moderate,214,asl-to2,linkedin_slug_mismatch,LinkedIn slug 'asl-to2' shares no tokens with company name,,,,,,
ospedale-santa-chiara,Ospedale Santa Chiara,https://www.apss.tn.it/Azienda/Luoghi/Ospedale-Santa-Chiara-di-Trento,Enabling Tech,buyer_excluded,🟢 Active,28,azienda-provinciale-per-i-servizi-sanitari,linkedin_slug_mismatch,LinkedIn slug 'azienda-provinciale-per-i-servizi-sanitari' shares no tokens with company name,,,,,,
pwe-heat-and-power,PWE Heat and Power,https://www.pweheatandpower.com/,Enabling Tech,buyer_excluded,🟡 Moderate,1,patchwork-energy-ltd,pathway_mismatch,description keywords suggest Biochar (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
pwe-heat-and-power,PWE Heat and Power,https://www.pweheatandpower.com/,Enabling Tech,buyer_excluded,🟡 Moderate,1,patchwork-energy-ltd,linkedin_slug_mismatch,LinkedIn slug 'patchwork-energy-ltd' shares no tokens with company name,,,,,,
pacific-biochar,Pacific Biochar,https://www.pacificbiochar.com,Biochar,supplier,🟢 Active,3,pacific-biochar,pathway_mismatch,description keywords suggest BECCS (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
planboo,Planboo,https://planboo.eco/,Biochar,supplier,🟢 Active,21,planboo,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
planta-piloto-de-ingeniería-química,Planta Piloto de Ingeniería Química,https://www.plapiqui.conicet.gov.ar/,Enabling Tech,buyer_excluded,🟢 Active,13855,conicet,linkedin_slug_mismatch,LinkedIn slug 'conicet' shares no tokens with company name,,,,,,
pond-foundation,Pond Foundation,https://www.pond.foundation/,Enabling Tech,ecosystem,🟢 Active,6,my-carbon-zero,linkedin_slug_mismatch,LinkedIn slug 'my-carbon-zero' shares no tokens with company name,,,,,,
poás-bioenergy,Poás Bioenergy,https://www.poasbioenergy.com/,Biochar,supplier,🟢 Active,6,po%c3%a1s-bioenergy,pathway_mismatch,description keywords suggest BECCS (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
process-combustion-corporation,Process Combustion Corporation,https://www.pcc-group.com/,Enabling Tech,buyer_excluded,🟢 Active,68,process-combustion-corporation,pathway_mismatch,description keywords suggest Biochar (2 hits) but pathway_primary=Enabling Tech (0 hits),,,,,,
pure-carbon-partners-pcp,Pure Carbon Partners (PCP),https://www.purecarbon.partners/,Enabling Tech,ecosystem,🟡 Moderate,1,pure-carbon-partners,country_unknown,country not set,,,,,,
qualterra,Qualterra,https://www.qualterraag.com/,Biochar,supplier,🟢 Active,20,nuphyplants,linkedin_slug_mismatch,LinkedIn slug 'nuphyplants' shares no tokens with company name,,,,,,
rainbow,Rainbow,https://rainbowstandard.io/,Enabling Tech,ecosystem,🟢 Active,35,riverse,linkedin_slug_mismatch,LinkedIn slug 'riverse' shares no tokens with company name,,,,,,
reclimate,Reclimate,https://www.reclimate.earth/,Biochar,supplier,🟢 Active,9,reclimateglobal,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
recyclage-et-risque,Recyclage et risque,https://ur-recyclage-risque.cirad.fr/,Enabling Tech,review_needed,🟢 Active,2350,cirad,linkedin_slug_mismatch,LinkedIn slug 'cirad' shares no tokens with company name,,,,,,
remove-carbon-today,Remove Carbon Today,https://www.removecarbontoday.com/,Enabling Tech,ecosystem,🟡 Moderate,,,country_unknown,country not set,,,,,,
reverse-coal,Reverse Coal,https://www.reversecoal.co.uk/,Biochar,division,🟢 Active,2,lapwing-energy-ltd,linkedin_slug_mismatch,LinkedIn slug 'lapwing-energy-ltd' shares no tokens with company name,,,,,,
rheinkalk-gmbh,Rheinkalk GmbH,https://www.lhoist.com/en/lhoist-germany,Mineralization,buyer_excluded,🟢 Active,3473,lhoist,linkedin_slug_mismatch,LinkedIn slug 'lhoist' shares no tokens with company name,,,,,,
ruuts,Ruuts,https://ruuts.la,Afforestation,supplier,🟢 Active,33,ruutsnetwork,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (1 hits),,,,,,
scif,SCIF,https://scif.org.uk,Afforestation,review_needed,🟡 Moderate,,sustainable-climate-impact-fund,linkedin_slug_mismatch,LinkedIn slug 'sustainable-climate-impact-fund' shares no tokens with company name,,,,,,
scw-systems,SCW Systems,https://www.scwsystems.com/,BECCS,side_business,🟢 Active,72,scw-systems,pathway_mismatch,description keywords suggest DAC (2 hits) but pathway_primary=BECCS (1 hits),,,,,,
soler-group,SOLER Group,https://soler-group.com/,Biochar,side_business,🟢 Active,58,carbonex,linkedin_slug_mismatch,LinkedIn slug 'carbonex' shares no tokens with company name,,,,,,
salient-direct-ocean-capture,Salient Direct Ocean Capture,,Ocean CDR,supplier,🟡 Moderate,,,country_unknown,country not set,,,,,,
scature,Scature,https://www.scature.com/,Afforestation,ecosystem,🟡 Moderate,4,scature,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (0 hits),,,,,,
seqana,Seqana,https://www.seqana.com/,Enabling Tech,ecosystem,🟢 Active,26,cquest-ai,linkedin_slug_mismatch,LinkedIn slug 'cquest-ai' shares no tokens with company name,,,,,,
shimizu-corporation,Shimizu Corporation,https://www.shimz.co.jp/en/,DAC,buyer_excluded,🟢 Active,274,%e6%b8%85%e6%b0%b4%e5%bb%ba%e8%a8%ad%ef%bc%88%e6%a0%aa%ef%bc%89,linkedin_slug_mismatch,LinkedIn slug '%e6%b8%85%e6%b0%b4%e5%bb%ba%e8%a8%ad%ef%bc%88%e6%a0%aa%ef%bc%89' shares no tokens with company name,,,,,,
slíglas,Slíglas,https://sliglas.com/,Biochar,supplier,🟢 Active,4,sliglas,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
social-carbon,Social Carbon,https://www.socialcarbon.org/,Enabling Tech,ecosystem,🟡 Moderate,12,social-carbon,pathway_mismatch,description keywords suggest Afforestation (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
soil-reef,Soil Reef,https://www.soilreef.com/,Biochar,supplier,🟠 Suspect,1,the-biochar-company,linkedin_slug_mismatch,LinkedIn slug 'the-biochar-company' shares no tokens with company name,,,,,,
soilwatch,Soilwatch,https://soilwatch.eu/,Enabling Tech,ecosystem,🟢 Active,9,soilwatch,pathway_mismatch,description keywords suggest Afforestation (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
south-pole,South Pole,https://www.southpole.com,Afforestation,ecosystem,🟡 Moderate,860,south-pole-,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (0 hits),,,,,,
south-pole,South Pole,https://www.southpole.com,Afforestation,ecosystem,🟡 Moderate,860,south-pole-,suspicious_big_followers,"ecosystem company with 158,952 LinkedIn followers — verify match",,,,,,
stack-carbon,Stack Carbon,https://www.stackcarbon.earth/,Biochar,supplier,🟢 Active,5,stackcarbon,pathway_mismatch,description keywords suggest Enhanced Weathering (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
state-key-laboratory-of-biotherapy,State Key Laboratory of Biotherapy,https://www.wchscu.cn/,Enabling Tech,buyer_excluded,🟢 Active,133,west-china-hospital,linkedin_slug_mismatch,LinkedIn slug 'west-china-hospital' shares no tokens with company name,,,,,,
subtidal,Subtidal,https://subtidal.com/,Enabling Tech,review_needed,🟠 Suspect,3,subtidal,pathway_mismatch,description keywords suggest Ocean CDR (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
super-biochar,Super Biochar,https://www.superbiochar.com/,Biochar,supplier,🟢 Active,6,superbiochar,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
sustainable-energy-holdings-limited,Sustainable Energy Holdings Limited,https://www.earthcapital.net/portfolio/sustainable-energy-holdings-ltd-sehl/,BECCS,buyer_excluded,🟡 Moderate,12,earthcapital,linkedin_slug_mismatch,LinkedIn slug 'earthcapital' shares no tokens with company name,,,,,,
sustainable-green-team,Sustainable Green Team,https://sustainablegreenteam.com,Biochar,review_needed,🟢 Active,,,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
tchar,TCHAR,https://www.tchar.com.tw/,Biochar,supplier,🟢 Active,7,%e5%85%89%e6%b3%b0%e7%92%b0%e8%83%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8guangtech-environment-energy,linkedin_slug_mismatch,LinkedIn slug '%e5%85%89%e6%b3%b0%e7%92%b0%e8%83%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8guangtech-environment-energy' shares no tokens with company name,,,,,,
taking-root,Taking Root,https://takingroot.com/,Afforestation,supplier,🟢 Active,26,takingroot,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (1 hits),,,,,,
terra-preta-cotierra,Terra Preta (Cotierra),https://www.cotierra.com/,Biochar,supplier,🟢 Active,16,terra-preta-carbon,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Biochar (2 hits),,,,,,
terrabaru,TerraBaru,https://terrabaru.com/,Biochar,supplier,🟢 Active,18,planet-netzero,linkedin_slug_mismatch,LinkedIn slug 'planet-netzero' shares no tokens with company name,,,,,,
terrafront,Terrafront,https://terrafront.com/,Biochar,supplier,🟢 Active,4,terrafront,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
terranova,Terranova,https://www.terranova.inc/,Biomass Burial,side_business,🟢 Active,28,levitree,linkedin_slug_mismatch,LinkedIn slug 'levitree' shares no tokens with company name,,,,,,
terrasols,Terrasols,https://terrasols.earth/,Enhanced Weathering,supplier,🟡 Moderate,4,greenlife-sustainability,linkedin_slug_mismatch,LinkedIn slug 'greenlife-sustainability' shares no tokens with company name,,,,,,
terraton,Terraton,https://terraton.ai/,Biochar,supplier,🟢 Active,7,terraton,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
the-research-council-of-norway,The Research Council of Norway,https://www.forskningsradet.no/en/,Enabling Tech,buyer_excluded,🟢 Active,578,norges-forskningsrad,linkedin_slug_mismatch,LinkedIn slug 'norges-forskningsrad' shares no tokens with company name,,,,,,
titan-sa,Titan SA,https://www.titanmaterials.com/,Mineralization,buyer_excluded,🟢 Active,366,titanmaterials-group,linkedin_slug_mismatch,LinkedIn slug 'titanmaterials-group' shares no tokens with company name,,,,,,
usinas-itamarati,Usinas Itamarati,https://www.uisa.com.br/,Biochar,side_business,🟢 Active,1328,uisa,linkedin_slug_mismatch,LinkedIn slug 'uisa' shares no tokens with company name,,,,,,
va-western-new-york-healthcare-system,VA Western New York Healthcare System,https://www.va.gov/western-new-york-health-care/,Enabling Tech,buyer_excluded,🟢 Active,199586,department-of-veterans-affairs,linkedin_slug_mismatch,LinkedIn slug 'department-of-veterans-affairs' shares no tokens with company name,,,,,,
varaha,Varaha,https://www.varaha.earth/,Biochar,supplier,🟢 Active,,,pathway_mismatch,description keywords suggest Afforestation (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
velocys,Velocys,https://velocys.com/,BECCS,review_needed,🟢 Active,65,oxford-catalysts,linkedin_slug_mismatch,LinkedIn slug 'oxford-catalysts' shares no tokens with company name,,,,,,
veyt,Veyt,https://veyt.com,Enabling Tech,ecosystem,🟡 Moderate,54,greenfact,linkedin_slug_mismatch,LinkedIn slug 'greenfact' shares no tokens with company name,,,,,,
wallenberg-wood-science-center,Wallenberg Wood Science Center,https://wwsc.se/,Enabling Tech,buyer_excluded,🟢 Active,9,wwsc,linkedin_slug_mismatch,LinkedIn slug 'wwsc' shares no tokens with company name,,,,,,
world-agroforestry-cifor-icraf,World Agroforestry (CIFOR-ICRAF),https://www.cifor-icraf.org,Afforestation,review_needed,🟢 Active,732,cifor-icraf,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (0 hits),,,,,,
xprize-carbon-removal-competition-page,XPRIZE Carbon Removal Competition Page,https://www.xprize.org/competitions/carbonremoval,Enabling Tech,buyer_excluded,🟡 Moderate,362,x-prize-foundation,linkedin_slug_mismatch,LinkedIn slug 'x-prize-foundation' shares no tokens with company name,,,,,,
zs2,ZS2,https://zs2technologies.com/,Mineralization,side_business,🟢 Active,49,zs2-technologies,pathway_mismatch,description keywords suggest DAC (2 hits) but pathway_primary=Mineralization (0 hits),,,,,,
zhejiang-academy-of-agricultural-sciences,ZheJiang Academy of Agricultural Sciences,http://www.zaas.ac.cn/,Biochar,buyer_excluded,🟡 Moderate,153,%e6%b5%99%e6%b1%9f%e7%9c%81%e5%86%9c%e4%b8%9a%e7%a7%91%e5%ad%a6%e9%99%a2,linkedin_slug_mismatch,LinkedIn slug '%e6%b5%99%e6%b1%9f%e7%9c%81%e5%86%9c%e4%b8%9a%e7%a7%91%e5%ad%a6%e9%99%a2' shares no tokens with company name,,,,,,
zittaugörlitz-university-of-applied-sciences,Zittau/Görlitz University of Applied Sciences,https://www.hszg.de/,Enabling Tech,review_needed,🟡 Moderate,369,hszg,linkedin_slug_mismatch,LinkedIn slug 'hszg' shares no tokens with company name,,,,,,
zuco2,ZuCO2,https://www.pelicanenergy.com/,Enabling Tech,review_needed,🟢 Active,129,pelican-energy-consultants,linkedin_slug_mismatch,LinkedIn slug 'pelican-energy-consultants' shares no tokens with company name,,,,,,
atdepth,atdepth,https://atdepthmrv.com/,Enabling Tech,ecosystem,🟢 Active,7,atdepth-mrv,pathway_mismatch,description keywords suggest Ocean CDR (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
atdepth-mrv,atdepth MRV,https://www.atdepth.org,Enabling Tech,ecosystem,🟡 Moderate,8,atdepth-mrv,pathway_mismatch,description keywords suggest Ocean CDR (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
malama-labs-inc,malama labs inc,https://www.malamalabs.com/,Biochar,supplier,🟢 Active,3,malama-labs-incorporated,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Biochar (2 hits),,,,,,
recarb,recarb,https://www.recarb.earth/,Enabling Tech,ecosystem,🟡 Moderate,1,impactlabs-group,pathway_mismatch,description keywords suggest Afforestation (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
recarb,recarb,https://www.recarb.earth/,Enabling Tech,ecosystem,🟡 Moderate,1,impactlabs-group,linkedin_slug_mismatch,LinkedIn slug 'impactlabs-group' shares no tokens with company name,,,,,,
remove,remove,https://remove.global/,Enabling Tech,ecosystem,🟡 Moderate,24,cdr-accelerator,linkedin_slug_mismatch,LinkedIn slug 'cdr-accelerator' shares no tokens with company name,,,,,,
renuearth,renu.earth,https://renu.earth/,Biochar,supplier,🟡 Moderate,1,renu-earth,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Biochar (2 hits),,,,,,
